id_cliente,familia,urgency,month,real,prediccion,error,mean_historical_error,lower_control_limit
1430,Familia T2,ALERTA,2025-01,4.0,1.1882343292236328,2.811765670776367,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-02,0.0,1.2423148155212402,-1.2423148155212402,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-03,0.0,1.1200361251831057,-1.1200361251831057,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-04,0.0,0.9535975456237792,-0.9535975456237792,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-05,0.0,2.135885000228882,-2.135885000228882,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-06,0.0,1.5058469772338867,-1.5058469772338867,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-07,0.0,1.4303395748138428,-1.4303395748138428,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-09,0.0,1.4814820289611816,-1.4814820289611816,-0.8822170495986938,-5.482106432792787
1430,Familia T2,ALERTA,2025-10,0.0,1.4271233081817627,-1.4271233081817627,-0.8822170495986938,-5.482106432792787
15384,Familia C1,ALERTA URGENTE,2025-01,15.0,0.2885055541992187,14.71149444580078,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-03,30.0,0.9772581458091736,29.022741854190823,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-05,15.0,1.1098086833953855,13.890191316604614,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-06,15.0,0.1777998208999633,14.822200179100037,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-09,15.0,0.3948009014129638,14.605199098587036,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-10,15.0,0.6098983287811279,14.390101671218872,16.906988094250362,-0.9268466781644236
15384,Familia C1,ALERTA URGENTE,2025-12,0.0,1.0506019592285156,-1.0506019592285156,16.906988094250362,-0.9268466781644236
